Algorithm,Setting,Similarity,K,Avg_RMSE,Avg_MAE,Fit_time,Test_time,Elapsed_s
SVD (PMF),SVD default,,,0.8934566470052069,0.6876924166872251,0.6425424098968506,0.15554466247558593,4.802797079086304
KNNBasic,User-based CF,cosine,40,0.9915750159065968,0.7662110121145794,0.3459653854370117,1.148488187789917,8.206336498260498
KNNBasic,Item-based CF,cosine,40,0.9963679326862067,0.7751148311390454,5.114347314834594,5.3595682144165036,53.23946571350098
KNNBasic,User-based,cosine,40,0.9939365725741938,0.7675429696963476,0.48758673667907715,1.7613917350769044,12.299875497817993
KNNBasic,Item-based,cosine,40,0.9959520140551505,0.7754919020141624,7.0017064094543455,7.797446632385254,75.16286587715149
KNNBasic,User-based,msd,40,0.9672007624801541,0.7440161702224344,0.2749340534210205,1.7099552631378174,11.084857940673828
KNNBasic,Item-based,msd,40,0.9346358154210389,0.7210120040884902,3.5932127475738525,6.209015655517578,50.0051748752594
KNNBasic,User-based,pearson,40,0.9985519061820562,0.772409260591383,0.45708370208740234,1.3044328689575195,9.704856634140015
KNNBasic,Item-based,pearson,40,0.9880468900543914,0.7673260801763193,7.203462696075439,6.271591901779175,68.28485798835754
KNNBasic,User-based,cosine,5,1.0426423045287931,0.8042750768611897,0.4139374256134033,1.0932929039001464,8.530365943908691
KNNBasic,Item-based,cosine,5,1.099861677224095,0.8570055026897896,5.5842814445495605,5.211137342453003,54.98288631439209
KNNBasic,User-based,cosine,10,1.0095651241175272,0.7776937556466355,0.40621418952941896,1.165483045578003,8.788280248641968
KNNBasic,Item-based,cosine,10,1.0508251995309252,0.8210559003962249,6.24990816116333,6.259189748764038,63.540611743927
KNNBasic,User-based,cosine,20,0.9962398249674778,0.7683264917389677,0.38454408645629884,1.181086015701294,8.710674285888672
KNNBasic,Item-based,cosine,20,1.016854311747365,0.7932037222251004,7.006733083724976,7.824964570999145,75.18258333206177
KNNBasic,User-based,cosine,30,0.994765408708583,0.7674089654672491,0.6011894702911377,2.0212891578674315,14.499821424484253
KNNBasic,Item-based,cosine,30,1.0026554729059647,0.7807129242652059,8.36069622039795,9.130558347702026,88.77866458892822
KNNBasic,User-based,cosine,50,0.9940242541975014,0.7689265981911159,0.6552688598632812,2.1395925521850585,15.514104127883911
KNNBasic,Item-based,cosine,50,0.9894434768609356,0.7693627447621367,7.949138879776001,9.088094520568848,86.45083332061768
